site_code,name,city,state,county,ugc_codes,latitude,longitude,region
1826,Indianapolis Testing Center,Indianapolis,IN,Marion,["INZ047","INC097"],39.9143700,-86.0758700,Midwest
1810,Lafayette Testing Center,Lafayette,IN,Tippecanoe,["INZ029","INC157"],40.4191700,-86.8291800,Midwest
5164,Merrillville Testing Center,Merrillville,IN,Lake,["INZ001","INC089"],41.4636500,-87.3349300,Midwest
1811,South Bend Testing Center,South Bend,IN,St. Joseph,["INZ104","INC141"],41.6879600,-86.1874200,Midwest
1804,Terre Haute Testing Center,Terre Haute,IN,Vigo,["INZ051","INC167"],39.3436200,-87.3971100,Midwest
5336,Dodge City Testing Center,Dodge City,KS,Ellis,["KSZ031","KSC051"],38.8728700,-99.3392800,Midwest
0103,Kansas City Testing Center,Kansas City,KS,Johnson,["KSZ105","KSC091"],38.9298200,-94.6803800,Midwest
1504,Lawrence Testing Center,Lawrence,KS,Shawnee,["KSZ039","KSC177"],39.0157300,-95.7611100,Midwest
5132,Pittsburg Testing Center,Pittsburg,KS,Crawford,["KSZ097","KSC037"],37.3905000,-94.7039700,Midwest
1509,Wichita Testing Center,Wichita,KS,Sedgwick,["KSZ083","KSC173"],37.7421900,-97.2425300,Midwest
1112,Florence Testing Center,Florence,KY,Boone,["KYZ091","KYC015"],38.9613200,-84.6329000,Southeast
1104,Lexington Testing Center,Lexington,KY,Fayette,["KYZ041","KYC067"],38.0118800,-84.4552100,Southeast
1101,Louisville Testing Center,Louisville,KY,Jefferson,["KYZ030","KYC111"],38.2516200,-85.6150800,Southeast
1313,Alexandria Testing Center,Alexandria,LA,Rapides,["LAZ028","LAC079"],31.1771700,-92.4133100,South Central
5233,Baton Rouge Testing Center,Baton Rouge,LA,East Baton Rouge,["LAZ048","LAC033"],30.4138400,-91.0525700,South Central
0061,New Orleans Testing Center,New Orleans,LA,Jefferson,["LAZ087","LAC051"],29.9956700,-90.1624400,South Central
1325,Shreveport Testing Center,Shreveport,LA,Bossier,["LAZ002","LAC015"],32.5283800,-93.7178600,South Central
5194,Boston Testing Center,Boston,MA,Plymouth,["MAZ018","MAC023"],42.0561100,-71.0694400,Northeast
5331,Cambridge Testing Center,Cambridge,MA,Suffolk,["MAZ015","MAC025"],42.3513000,-71.1182200,Northeast
5855,Lowell Testing Center,Lowell,MA,Middlesex,["MAZ005","MAC017"],42.4802300,-71.2037900,Northeast
2525,Springfield Testing Center,Springfield,MA,Hampden,["MAZ011","MAC013"],42.1563300,-72.6510200,Northeast
0005,Worcester Testing Center,Worcester,MA,Worcester,["MAZ012","MAC027"],42.2888000,-71.7999100,Northeast
3505,Baltimore Testing Center,Baltimore,MD,Baltimore City,["MDZ011","MDC510"],39.2929300,-76.5624100,Mid-Atlantic
3514,Bowie Testing Center,Bowie,MD,Prince Georges,["MDZ013","MDC033"],38.9492900,-76.8675600,Mid-Atlantic
0084,Columbia Testing Center,Columbia,MD,Howard,["MDZ506","MDC027"],39.1955800,-76.8535300,Mid-Atlantic
3504,Salisbury Testing Center,Salisbury,MD,Wicomico,["MDZ022","MDC045"],38.3692000,-75.5682000,Mid-Atlantic
0092,Towson Testing Center,Towson,MD,Baltimore,["MDZ011","MDC005"],39.3940200,-76.5752400,Mid-Atlantic
5119,Bangor Testing Center,Bangor,ME,Penobscot,["MEZ015","MEC019"],44.8361900,-68.7453000,Northeast
4001,Portland Testing Center,Portland,ME,Rockingham,["NHZ014","NHC015"],43.0923800,-70.8099900,Northeast
0057,Ann Arbor Testing Center,Ann Arbor,MI,Washtenaw,["MIZ075","MIC161"],42.2392900,-83.7432400,Midwest
2331,Dearborn Testing Center,Dearborn,MI,Oakland,["MIZ069","MIC125"],42.5974500,-83.1703300,Midwest
2301,Grand Rapids Testing Center,Grand Rapids,MI,Kent,["MIZ057","MIC081"],42.9266000,-85.5718400,Midwest
2306,Lansing Testing Center,Lansing,MI,Ingham,["MIZ067","MIC065"],42.7595000,-84.5126700,Midwest
2327,Sault Ste Marie Testing Center,Sault Ste Marie,MI,Chippewa,["MIZ087","MIC033"],46.4901600,-84.3797300,Midwest
0087,Duluth Testing Center,Duluth,MN,St. Louis,["MNZ037","MNC137"],46.8058600,-92.0671300,Midwest
0064,Minneapolis Testing Center,Minneapolis,MN,Hennepin,["MNZ060","MNC053"],44.8566200,-93.3253500,Midwest
5404,Rochester Testing Center,Rochester,MN,Olmsted,["MNZ087","MNC109"],44.0217500,-92.4942300,Midwest
3232,Cape Girardeau Testing Center,Cape Girardeau,MO,Jackson,["ILZ084","ILC077"],37.7243300,-89.1993000,Midwest
0718,Columbia Testing Center,Columbia,MO,Cole,["MOZ048","MOC051"],38.5529700,-92.1507500,Midwest
0700,Springfield Testing Center,Springfield,MO,Greene,["MOZ090","MOC077"],37.1425800,-93.2623100,Midwest
0702,St. Louis Testing Center,St. Louis,MO,St. Louis,["MOZ063","MOC189"],38.6724000,-90.4372400,Midwest
3606,Hattiesburg Testing Center,Hattiesburg,MS,Lamar,["MSZ073","MSC073"],31.3068900,-89.6367300,South Central
3605,Jackson Testing Center,Jackson,MS,Rankin,["MSZ049","MSC121"],32.3308300,-90.1066400,South Central
1610,Asheville Testing Center,Asheville,NC,Buncombe,["NCZ053","NCC021"],35.4889100,-82.5245100,Southeast
0045,Charlotte Testing Center,Charlotte,NC,Mecklenburg,["NCZ071","NCC119"],35.1886300,-80.9164500,Southeast
0058,Greensboro Testing Center,Greensboro,NC,Guilford,["NCZ022","NCC081"],36.0496100,-79.8397800,Southeast
1618,Greenville Testing Center,Greenville,NC,Pitt,["NCZ044","NCC147"],35.6019600,-77.4038700,Southeast
1602,Raleigh Testing Center,Raleigh,NC,Wake,["NCZ041","NCC183"],35.8541900,-78.5867300,Southeast
1747,Wilmington Testing Center,Wilmington,NC,New Hanover,["NCZ107","NCC129"],34.2104500,-77.8866500,Southeast
4303,Bismarck Testing Center,Bismarck,ND,Burleigh,["NDZ035","NDC015"],46.8546900,-100.7776700,Midwest
4304,Fargo Testing Center,Fargo,ND,Cass,["NDZ039","NDC017"],46.8616200,-96.8892400,Midwest
4302,Grand Forks Testing Center,Grand Forks,ND,Grand Forks,["NDZ027","NDC035"],47.9211500,-97.0693100,Midwest
3804,Lincoln Testing Center,Lincoln,NE,Lancaster,["NEZ066","NEC109"],40.7546700,-96.6722400,Midwest
5108,North Platte Testing Center,North Platte,NE,Buffalo,["NEZ061","NEC019"],40.7003900,-99.1124700,Midwest
3811,Omaha Testing Center,Omaha,NE,Douglas,["NEZ052","NEC055"],41.2333300,-96.1420400,Midwest
3803,Scottsbluff Testing Center,Scottsbluff,NE,Scotts Bluff,["NEZ019","NEC157"],41.8837900,-103.6247000,Midwest
3403,Portsmouth Testing Center,Portsmouth,NH,Cumberland,["MEZ024","MEC005"],43.6377200,-70.3290500,Northeast
5858,Edison Testing Center,Edison,NJ,Union,["NJZ107","NJC039"],40.6301100,-74.3032300,Mid-Atlantic
0033,Paramus Testing Center,Paramus,NJ,Bergen,["NJZ103","NJC003"],40.9246600,-74.1024600,Mid-Atlantic
4114,Trenton Testing Center,Trenton,NJ,Mercer,["NJZ015","NJC021"],40.2057100,-74.6309900,Mid-Atlantic
1906,Farmington Testing Center,Farmington,NM,San Juan,["NMZ201","NMC045"],36.7717000,-108.1687100,Southwest
5183,Las Cruces Testing Center,Las Cruces,NM,Dona Ana,["NMZ411","NMC013"],32.3520300,-106.7675500,Southwest
1907,Roswell Testing Center,Roswell,NM,Chaves,["NMZ238","NMC005"],33.3139000,-104.5241700,Southwest
2202,Las Vegas Testing Center,Las Vegas,NV,Clark,["NVZ020","NVC003"],36.0281600,-115.1215500,West
2205,Reno Testing Center,Reno,NV,Washoe,["NVZ003","NVC031"],39.4736700,-119.7787400,West
5110,Albany Testing Center,Albany,NY,Albany,["NYZ052","NYC001"],42.7154800,-73.8057200,Mid-Atlantic
4210,Binghamton Testing Center,Binghamton,NY,Broome,["NYZ056","NYC007"],42.0924600,-75.9547300,Mid-Atlantic
4205,Buffalo Testing Center,Buffalo,NY,Erie,["NYZ010","NYC029"],42.9875400,-78.8732700,Mid-Atlantic
4215,Garden City Testing Center,Garden City,NY,Nassau,["NYZ179","NYC059"],40.7447500,-73.5878400,Mid-Atlantic
6751,Melville Testing Center,Melville,NY,Suffolk,["NYZ080","NYC103"],40.7729000,-73.4215000,Mid-Atlantic
4235,New York Midtown Testing Center,New York,NY,Kings,["NYZ075","NYC047"],40.6920300,-73.9852800,Mid-Atlantic
4251,New York Downtown Testing Center,New York,NY,New York (Manhattan),["NYZ072","NYC061"],40.7478400,-73.9879600,Mid-Atlantic
4258,Poughkeepsie Testing Center,Poughkeepsie,NY,Dutchess,["NYZ065","NYC027"],41.6916400,-73.9315400,Mid-Atlantic
4203,Purchase Testing Center,Purchase,NY,Westchester,["NYZ071","NYC119"],41.0063800,-73.6948200,Northeast
4212,Queens Testing Center,Queens,NY,Queens,["NYZ176","NYC081"],40.7348100,-73.8644900,Mid-Atlantic
4218,Rochester Testing Center,Rochester,NY,Monroe,["NYZ003","NYC055"],43.1038200,-77.5389700,Mid-Atlantic
4211,Syracuse Testing Center,Syracuse,NY,Onondaga,["NYZ018","NYC067"],43.0930100,-76.0771700,Mid-Atlantic
0007,Cincinnati Testing Center,Cincinnati,OH,Hamilton,["OHZ077","OHC061"],39.2747200,-84.3756300,Midwest
1402,Cleveland Testing Center,Cleveland,OH,Summit,["OHZ021","OHC153"],41.1109100,-81.6453400,Midwest
1409,Columbus Testing Center,Columbus,OH,Franklin,["OHZ055","OHC049"],40.1113400,-83.0271600,Midwest
3419,Dayton Testing Center,Dayton,OH,Greene,["OHZ062","OHC057"],39.7761600,-84.0559000,Midwest
2206,Parma Testing Center,Parma,OH,Lake,["OHZ012","OHC085"],41.6755600,-81.3162700,Midwest
1414,Toledo Testing Center,Toledo,OH,Lucas,["OHZ003","OHC095"],41.6989400,-83.6501500,Midwest
1420,Youngstown Testing Center,Youngstown,OH,Trumbull,["OHZ023","OHC155"],41.1989400,-80.7323000,Midwest
0901,Oklahoma City Testing Center,Oklahoma City,OK,Oklahoma,["OKZ025","OKC109"],35.5305300,-97.5813300,South Central
5472,Tulsa Testing Center,Tulsa,OK,Tulsa,["OKZ060","OKC143"],36.0909500,-95.9445100,South Central
5007,Bend Testing Center,Bend,OR,Deschutes,["ORZ511","ORC017"],44.0718000,-121.2996200,West
0102,Eugene Testing Center,Eugene,OR,Lane,["ORZ118","ORC039"],44.0716600,-123.1101200,West
5009,Pendleton Testing Center,Pendleton,OR,Union,["ORZ049","ORC061"],45.3228900,-118.0847100,West
0116,Portland Testing Center,Portland,OR,Washington,["ORZ109","ORC067"],45.5259000,-122.8325200,West
1701,Allentown Testing Center,Allentown,PA,Montgomery,["PAZ104","PAC091"],40.1005600,-75.4147400,Mid-Atlantic
1730,Erie Testing Center,Erie,PA,Erie,["PAZ002","PAC049"],42.0525400,-80.0887000,Mid-Atlantic
1718,Harrisburg Testing Center,Harrisburg,PA,Dauphin,["PAZ057","PAC043"],40.3380000,-76.7914300,Mid-Atlantic
0020,Philadelphia Testing Center,Philadelphia,PA,Philadelphia,["PAZ071","PAC101"],39.9481600,-75.1517400,Mid-Atlantic
1705,Pittsburgh Testing Center,Pittsburgh,PA,Allegheny,["PAZ021","PAC003"],40.5638600,-80.0227000,Mid-Atlantic
1709,Reading Testing Center,Reading,PA,Lehigh,["PAZ061","PAC077"],40.6101800,-75.5385800,Mid-Atlantic
1736,Scranton Testing Center,Scranton,PA,Lackawanna,["PAZ044","PAC069"],41.4668700,-75.6691700,Mid-Atlantic
1711,State College Testing Center,State College,PA,Centre,["PAZ019","PAC027"],40.7949300,-77.8596300,Mid-Atlantic
5221,San Juan Testing Center,San Juan,PR,Guaynabo,["PRZ001","PRC061"],18.4163200,-66.1062900,Caribbean
5805,Providence Testing Center,Providence,RI,Kent,["RIZ004","RIC003"],41.6946000,-71.5009200,Northeast
5102,Charleston Testing Center,Charleston,SC,Charleston,["SCZ050","SCC019"],32.9159800,-80.0298800,Southeast
0049,Columbia Testing Center,Columbia,SC,Lexington,["SCZ027","SCC063"],34.0349200,-81.1210700,Southeast
2114,Greenville Testing Center,Greenville,SC,Greenville,["SCZ106","SCC045"],34.8602000,-82.3551900,Southeast
0385,Myrtle Beach Testing Center,Myrtle Beach,SC,Horry,["SCZ058","SCC051"],33.8010000,-78.9987100,Southeast
4403,Rapid City Testing Center,Rapid City,SD,Pennington,["SDZ026","SDC103"],44.0842400,-103.2404600,Midwest
4400,Sioux Falls Testing Center,Sioux Falls,SD,Minnehaha,["SDZ062","SDC099"],43.5011100,-96.7739600,Midwest
1010,Chattanooga Testing Center,Chattanooga,TN,Hamilton,["TNZ099","TNC065"],35.0578500,-85.1351200,Southeast
1011,Clarksville Testing Center,Clarksville,TN,Montgomery,["TNZ006","TNC125"],36.5347200,-87.3605200,Southeast
1001,Knoxville Testing Center,Knoxville,TN,Knox,["TNZ069","TNC093"],35.9068200,-84.1220300,Southeast
5479,Memphis Testing Center,Memphis,TN,Shelby,["TNZ088","TNC157"],35.1850400,-89.8907700,Southeast
1015,Nashville Testing Center,Nashville,TN,Davidson,["TNZ027","TNC037"],36.0978400,-86.6774800,Southeast
0335,Abilene Testing Center,Abilene,TX,Taylor,["TXZ127","TXC441"],32.4103400,-99.7655000,South Central
0317,Amarillo Testing Center,Amarillo,TX,Potter,["TXZ012","TXC375"],35.1966200,-101.8697500,South Central
0010,Austin Testing Center,Austin,TX,Travis,["TXZ192","TXC453"],30.2274000,-97.7436300,South Central
5128,Beaumont Testing Center,Beaumont,TX,Jefferson,["TXZ515","TXC245"],30.1156300,-94.1319500,South Central
5400,College Station Testing Center,College Station,TX,Brazos,["TXZ196","TXC041"],30.6221100,-96.3578700,South Central
0329,Corpus Christi Testing Center,Corpus Christi,TX,Nueces,["TXZ343","TXC355"],27.6917500,-97.3801900,South Central
0051,Dallas Testing Center,Dallas,TX,Dallas,["TXZ119","TXC113"],32.9185000,-96.7686100,South Central
0312,El Paso Testing Center,El Paso,TX,El Paso,["TXZ419","TXC141"],31.7940500,-106.3748300,Southwest
0083,Houston Galleria Testing Center,Houston,TX,Harris,["TXZ213","TXC201"],29.7176200,-95.5077000,South Central
0384,Houston Northwest Testing Center,Houston,TX,Harris,["TXZ213","TXC201"],29.9592500,-95.5523000,South Central
0077,Lubbock Testing Center,Lubbock,TX,Lubbock,["TXZ035","TXC303"],33.5308100,-101.9103400,South Central
0078,McAllen Testing Center,McAllen,TX,Hidalgo,["TXZ253","TXC215"],26.2386000,-98.2215000,South Central
0339,San Antonio Testing Center,San Antonio,TX,Bexar,["TXZ205","TXC029"],29.5939300,-98.4703000,South Central
0079,Tyler Testing Center,Tyler,TX,Smith,["TXZ136","TXC423"],32.3126700,-95.2741200,South Central
0086,Salt Lake City Testing Center,Salt Lake City,UT,Salt Lake,["UTZ105","UTC035"],40.6511300,-111.9393700,Mountain
4511,St. George Testing Center,St. George,UT,Washington,["UTZ123","UTC053"],37.1076600,-113.5627600,West
0090,West Valley City Testing Center,West Valley City,UT,Utah,["UTZ106","UTC049"],40.3313400,-111.7257600,Mountain
0028,Alexandria Testing Center,Alexandria,VA,City of Falls Church,["VAZ054","VAC610"],38.8876300,-77.1807300,Mid-Atlantic
4718,Blacksburg Testing Center,Blacksburg,VA,Roanoke,["VAZ022","VAC161"],37.2436900,-80.0298900,Mid-Atlantic
5174,Bristol Testing Center,Bristol,VA,City of Bristol,["VAZ008","VAC520"],36.6302700,-82.1464400,Southeast
4709,Norfolk Testing Center,Norfolk,VA,City of Chesapeake,["VAZ097","VAC550"],36.7667200,-76.2602900,Mid-Atlantic
5115,Richmond Testing Center,Richmond,VA,Henrico,["VAZ515","VAC087"],37.6881000,-77.5947800,Mid-Atlantic
5253,St. Thomas Testing Center,Charlotte Amalie,VI,Saint Thomas,["VIZ001","VIC030"],18.3439700,-64.9228400,Caribbean
5209,Burlington Testing Center,Burlington,VT,Chittenden,["VTZ005","VTC007"],44.4533300,-73.1152200,Northeast
0211,Seattle Bellevue Testing Center,Bellevue,WA,Pierce,["WAZ316","WAC053"],47.2468900,-122.3481400,West
0015,Seattle Testing Center,Seattle,WA,Snohomish,["WAZ313","WAC061"],47.7857100,-122.3193400,West
0200,Spokane Testing Center,Spokane,WA,Spokane,["WAZ036","WAC063"],47.6428500,-117.4936600,West
0207,Yakima Testing Center,Yakima,WA,Yakima,["WAZ027","WAC077"],46.6134500,-120.5605100,West
4913,Appleton Testing Center,Appleton,WI,Brown,["WIZ039","WIC009"],44.5081800,-88.0850100,Midwest
5323,Madison Testing Center,Madison,WI,Dane,["WIZ063","WIC025"],43.1224600,-89.3127100,Midwest
4903,Milwaukee Testing Center,Milwaukee,WI,Waukesha,["WIZ065","WIC133"],43.0894900,-88.1540200,Midwest
5224,Charleston Testing Center,Charleston,WV,Kanawha,["WVZ015","WVC039"],38.3387400,-81.6057400,Mid-Atlantic
5354,Morgantown Testing Center,Morgantown,WV,Monongalia,["WVZ509","WVC061"],39.6639400,-79.9510000,Mid-Atlantic
5000,Casper Testing Center,Casper,WY,Natrona,["WYZ020","WYC025"],42.8603200,-106.3344000,Mountain
